ApplicationDate,Age,AnnualIncome,CreditScore,RiskScore,LoanApproved
2018-01-05,37,103264,594,36.0,1
2018-01-06,37,178310,626,44.0,1
2018-01-08,49,97345,516,42.400000000000006,1
2018-01-16,33,56650,605,33.6,1
2018-01-18,43,142326,644,39.2,1
2018-01-21,57,106749,630,32.800000000000004,1
2018-01-23,40,114216,635,46.400000000000006,1
2018-01-30,36,60227,576,36.8,1
2018-02-06,42,78701,552,36.0,1
2018-02-07,18,24914,604,45.6,1
2018-02-09,42,163303,655,37.6,1
2018-02-11,42,99920,582,44.8,1
2018-02-20,43,121939,653,32.800000000000004,1
2018-02-23,47,124086,631,39.2,1
2018-02-24,52,272693,586,38.400000000000006,1
2018-02-27,36,69003,499,42.400000000000006,1
2018-03-04,26,77555,527,39.2,1
2018-03-08,39,67367,615,42.400000000000006,1
2018-03-11,32,54128,620,36.8,1
2018-03-13,58,90788,672,34.4,1
2018-03-14,39,190445,619,33.6,1
2018-03-24,57,86699,615,36.0,1
2018-03-29,43,100032,524,49.6,1
2018-04-04,36,152650,610,38.400000000000006,1
2018-04-06,22,59830,570,45.6,1
2018-04-07,43,55308,645,36.8,1
2018-04-14,30,94238,608,44.0,1
2018-04-15,38,45145,587,40.0,1
2018-04-21,18,87673,608,43.2,1
2018-05-02,29,125711,580,40.8,1
2018-05-04,23,73576,603,41.6,1
2018-05-06,66,56816,669,28.8,1
2018-05-08,33,55383,565,40.0,1
2018-05-09,41,65180,551,40.0,1
2018-05-11,21,149736,560,37.6,1
2018-05-13,27,66417,590,40.0,1
2018-05-16,58,134691,621,40.0,1
2018-05-18,36,44364,439,40.8,1
2018-05-22,55,113523,643,35.2,1
2018-06-07,45,93617,557,43.2,1
2018-06-10,28,72220,546,36.0,1
2018-06-12,53,259639,545,40.8,1
2018-06-14,51,91953,618,45.6,1
2018-06-18,37,36562,553,42.400000000000006,1
2018-06-23,44,99138,524,40.8,1
2018-06-25,49,88064,568,36.8,1
2018-06-26,40,177855,625,38.400000000000006,1
2018-06-28,36,44377,558,40.0,1
2018-06-30,47,163133,654,32.800000000000004,1
2018-07-03,45,117455,652,44.8,1
2018-07-04,37,68157,565,40.0,1
2018-07-05,48,117456,579,39.2,1
2018-07-11,50,111020,498,44.0,1
2018-07-14,42,56320,603,32.0,1
2018-07-15,44,111257,487,40.0,1
2018-07-19,26,196442,600,40.8,1
2018-07-22,52,33061,640,39.2,1
2018-07-25,28,137635,622,40.8,1
2018-07-31,53,85512,628,39.2,1
2018-08-04,49,56255,571,36.8,1
2018-08-08,40,86157,535,40.8,1
2018-08-13,34,54605,614,40.0,1
2018-08-18,48,56584,615,40.8,1
2018-09-07,44,58991,587,40.8,1
