ApplicationDate,Age,AnnualIncome,CreditScore,RiskScore,LoanApproved
2018-01-01,45,39948,617,49.0,0
2018-01-02,38,39709,628,52.0,0
2018-01-03,47,40724,570,52.0,0
2018-01-04,58,69084,545,54.0,0
2018-01-07,58,51250,564,50.0,0
2018-01-09,34,116841,603,61.0,0
2018-01-10,46,40615,612,53.0,0
2018-01-11,34,73646,478,47.0,0
2018-01-12,34,15000,591,56.0,0
2018-01-13,42,74453,573,56.0,0
2018-01-14,18,100508,580,63.0,0
2018-01-15,19,47624,597,58.0,0
2018-01-17,27,50042,582,53.0,0
2018-01-19,29,16021,553,59.0,0
2018-01-20,23,34698,594,48.0,0
2018-01-22,37,59138,594,51.0,0
2018-01-24,22,63300,503,53.0,0
2018-01-25,33,39676,555,60.0,0
2018-01-26,41,59192,594,58.0,0
2018-01-27,26,15059,462,51.0,0
2018-01-28,44,15305,608,51.0,0
2018-01-29,32,35498,622,48.0,0
2018-01-31,32,23861,592,55.0,0
2018-02-01,62,73843,667,62.0,0
2018-02-02,39,61099,559,51.0,0
2018-02-03,27,15000,535,53.0,0
2018-02-04,49,34738,520,55.0,0
2018-02-05,25,85889,571,49.0,0
2018-02-08,24,57231,508,50.0,0
2018-02-10,48,38453,595,54.0,0
2018-02-12,38,57860,591,47.0,0
2018-02-13,36,30890,590,53.0,0
2018-02-14,22,15561,500,55.0,0
2018-02-15,31,105957,530,54.0,0
2018-02-16,34,82887,545,50.0,0
2018-02-17,52,53555,631,47.0,0
2018-02-18,44,105639,627,46.0,0
2018-02-19,18,58342,519,50.0,0
2018-02-21,35,16054,526,53.0,0
2018-02-22,31,36057,592,51.0,0
2018-02-25,51,48757,615,52.0,0
2018-02-26,29,31683,498,48.0,0
2018-02-28,43,72408,616,63.0,0
2018-03-01,51,105087,653,44.0,0
2018-03-02,34,15000,607,48.0,0
2018-03-03,37,38513,600,52.0,0
2018-03-05,25,15000,576,57.0,0
2018-03-06,49,24973,611,55.0,0
2018-03-07,56,18248,574,48.0,0
2018-03-09,52,32418,647,50.0,0
2018-03-10,44,26879,649,50.0,0
2018-03-12,44,19924,535,56.0,0
2018-03-15,58,35372,612,50.0,0
2018-03-16,18,15000,570,58.0,0
2018-03-17,49,40829,617,49.0,0
2018-03-18,41,58655,523,51.0,0
2018-03-19,36,68801,531,53.0,0
2018-03-20,41,92731,619,50.0,0
2018-03-21,18,40050,545,64.0,0
2018-03-22,37,40784,618,45.0,0
2018-03-23,44,15000,588,48.0,0
2018-03-25,33,17676,540,55.0,0
2018-03-26,30,42752,517,53.0,0
2018-03-27,33,29096,570,53.0,0
2018-03-28,50,60992,663,44.0,0
2018-03-30,33,35882,620,47.0,0
2018-03-31,46,32781,623,41.0,0
2018-04-01,41,51707,585,52.0,0
2018-04-02,51,31251,596,61.0,0
2018-04-03,31,22359,524,57.0,0
2018-04-05,35,15120,562,58.0,0
2018-04-08,43,30948,601,49.0,0
2018-04-09,40,56940,592,50.0,0
2018-04-10,37,44000,539,46.0,0
2018-04-11,23,81554,509,49.0,0
2018-04-12,34,26567,612,48.0,0
2018-04-13,35,33569,596,52.0,0
2018-04-16,44,70881,597,50.0,0
2018-04-17,62,105240,656,55.0,0
2018-04-18,42,63709,517,57.0,0
2018-04-19,43,31713,487,64.0,0
2018-04-20,39,29900,536,54.0,0
2018-04-22,39,55454,565,61.0,0
2018-04-23,40,40722,558,47.0,0
2018-04-24,69,76571,680,46.0,0
2018-04-25,37,22901,525,53.0,0
2018-04-26,43,49421,609,51.0,0
2018-04-27,39,43507,611,60.0,0
2018-04-28,25,41402,572,50.0,0
2018-04-29,53,37405,626,56.0,0
2018-04-30,49,48399,564,51.0,0
2018-05-01,49,44775,574,51.0,0
2018-05-03,56,15131,634,59.0,0
2018-05-05,47,50345,602,52.0,0
2018-05-07,28,34588,621,52.0,0
2018-05-10,33,15000,523,56.0,0
2018-05-12,40,42717,585,53.0,0
2018-05-14,45,22121,602,47.0,0
2018-05-15,28,37558,620,49.0,0
2018-05-17,30,33101,539,46.0,0
2018-05-19,49,38596,499,60.0,0
2018-05-20,25,139954,439,56.0,0
2018-05-21,42,53444,521,55.0,0
2018-05-23,20,31270,581,58.0,0
2018-05-24,42,46717,520,57.0,0
2018-05-25,43,56613,564,56.0,0
2018-05-26,49,86882,612,47.0,0
2018-05-27,25,69876,598,51.0,0
2018-05-28,24,32582,513,55.0,0
2018-05-29,46,101562,612,54.0,0
2018-05-30,43,24611,548,54.0,0
2018-05-31,43,22390,594,55.0,0
2018-06-01,44,47430,605,50.0,0
2018-06-02,31,57105,500,53.0,0
2018-06-03,42,28751,536,59.0,0
2018-06-04,43,43567,547,48.0,0
2018-06-05,31,20113,575,60.0,0
2018-06-06,62,52633,682,59.0,0
2018-06-08,25,34276,574,51.0,0
2018-06-09,47,25819,587,61.0,0
2018-06-11,49,30032,594,61.0,0
2018-06-13,30,58238,628,64.0,0
2018-06-15,44,22237,609,54.0,0
2018-06-16,49,74085,653,52.0,0
2018-06-17,62,33370,633,54.0,0
2018-06-19,30,25658,583,51.0,0
2018-06-20,29,75095,590,66.0,0
2018-06-21,30,50657,591,46.0,0
2018-06-22,39,48707,582,50.0,0
2018-06-24,43,48280,581,51.0,0
2018-06-27,57,55440,614,50.0,0
2018-06-29,72,115677,511,54.0,0
2018-07-01,29,51989,517,58.0,0
2018-07-02,27,28941,612,57.0,0
2018-07-06,45,84230,579,56.0,0
2018-07-07,39,47910,515,48.0,0
2018-07-08,29,37709,557,65.0,0
2018-07-09,21,73625,540,58.0,0
2018-07-10,34,19757,592,53.0,0
2018-07-12,42,54202,553,65.0,0
2018-07-13,25,36184,620,53.0,0
2018-07-16,29,55172,606,55.0,0
2018-07-17,41,29020,583,55.0,0
2018-07-18,40,19990,564,53.0,0
2018-07-20,44,21725,630,52.0,0
2018-07-21,46,49098,472,57.0,0
2018-07-23,52,91077,550,51.0,0
2018-07-24,23,17270,593,54.0,0
2018-07-26,46,44523,613,56.0,0
2018-07-27,46,40998,576,58.0,0
2018-07-28,46,49839,558,65.0,0
2018-07-29,80,48462,656,47.0,0
2018-07-30,46,37268,535,56.0,0
2018-08-01,51,16619,617,49.0,0
2018-08-02,47,30548,490,52.0,0
2018-08-03,36,108416,604,47.0,0
2018-08-05,30,35795,510,52.0,0
2018-08-06,37,20882,566,51.0,0
2018-08-07,34,21573,522,59.0,0
2018-08-09,67,29708,626,50.0,0
2018-08-10,18,77920,578,56.0,0
2018-08-11,48,35187,574,59.0,0
2018-08-12,20,53299,544,54.0,0
2018-08-14,53,36754,505,51.0,0
2018-08-15,40,37426,601,47.0,0
2018-08-16,27,29512,545,53.0,0
2018-08-17,31,34589,445,52.0,0
2018-08-19,31,32777,537,55.0,0
2018-08-20,42,70901,575,61.0,0
2018-08-21,40,52184,574,53.0,0
2018-08-22,32,43451,506,56.0,0
2018-08-23,65,23881,599,57.0,0
2018-08-24,47,44248,550,54.0,0
2018-08-25,18,15885,551,54.0,0
2018-08-26,42,39637,599,50.0,0
2018-08-27,32,48777,549,55.0,0
2018-08-28,50,43208,564,59.0,0
2018-08-29,30,18662,544,56.0,0
2018-08-30,38,42209,582,54.0,0
2018-08-31,46,99222,450,51.0,0
2018-09-01,50,27279,634,46.0,0
2018-09-02,25,15000,603,53.0,0
2018-09-03,35,75376,610,70.0,0
2018-09-04,34,25096,602,56.0,0
2018-09-05,32,34817,606,54.0,0
2018-09-06,61,68306,583,60.0,0
2018-09-08,24,92237,622,51.0,0
2018-09-09,51,52241,628,48.0,0
2018-09-10,65,66407,579,54.0,0
2018-09-11,52,20071,565,51.0,0
2018-09-12,21,69356,589,59.0,0
2018-09-13,34,31043,536,56.0,0
2018-09-15,31,34233,599,56.0,0
2018-09-16,45,81867,632,48.0,0
2018-09-18,28,45466,589,74.0,0
2018-09-19,39,75932,530,47.0,0
2018-09-21,27,29349,570,54.0,0
2018-09-22,36,15000,575,52.0,0
2018-09-23,25,22698,630,50.0,0
2018-09-25,22,28842,462,55.0,0
2018-09-27,41,80502,588,51.0,0
2018-09-28,57,26541,617,46.0,0
2018-09-29,22,19683,578,57.0,0
2018-09-30,53,45788,635,52.0,0
2018-10-01,40,16070,562,56.0,0
2018-10-02,28,42043,521,51.0,0
2018-10-04,42,28481,632,57.0,0
2018-10-05,32,16274,597,57.0,0
2018-10-06,40,25192,560,54.0,0
2018-10-07,35,78101,526,49.0,0
2018-10-08,41,73312,561,58.0,0
2018-10-11,25,15000,534,54.0,0
2018-10-12,65,49341,631,51.0,0
2018-10-13,18,47185,531,59.0,0
2018-10-19,34,23559,598,60.0,0
2018-10-21,50,18856,580,51.0,0
2018-10-24,50,22787,627,51.0,0
2018-10-25,43,30579,571,59.0,0
2018-10-26,49,15004,583,52.0,0
2018-10-28,30,26960,603,52.0,0
2018-10-29,33,18391,552,55.0,0
2018-10-30,48,51404,563,55.0,0
2018-11-02,41,40358,619,52.0,0
2018-11-03,55,63122,656,50.0,0
2018-11-05,46,120353,511,48.0,0
2018-11-06,37,41312,545,60.0,0
2018-11-07,37,57679,403,56.0,0
2018-11-08,53,35808,611,48.0,0
2018-11-09,49,61971,494,54.0,0
2018-11-12,40,36971,611,47.0,0
2018-11-13,48,92250,498,49.0,0
2018-11-14,36,51610,476,48.0,0
2018-11-15,43,37703,467,45.0,0
2018-11-17,41,34960,545,56.0,0
2018-11-18,47,28900,599,63.0,0
2018-11-19,30,27888,530,58.0,0
2018-11-20,65,75116,610,60.0,0
2018-11-21,27,19399,546,55.0,0
2018-11-22,25,62204,380,54.0,0
2018-11-23,53,28908,589,51.0,0
2018-11-24,49,46181,585,59.0,0
2018-11-26,47,25914,438,65.0,0
2018-11-27,39,15778,549,67.0,0
2018-11-28,29,103112,610,52.0,0
2018-11-29,40,25013,563,61.0,0
2018-11-30,31,26923,510,53.0,0
2018-12-01,51,74246,583,49.0,0
2018-12-02,38,87561,591,60.0,0
2018-12-03,30,15000,498,55.0,0
2018-12-04,36,64483,525,48.0,0
2018-12-05,44,66790,596,65.0,0
2018-12-07,30,23058,618,54.0,0
2018-12-08,42,67760,542,59.0,0
2018-12-09,42,31104,476,59.0,0
2018-12-11,34,27943,530,65.0,0
2018-12-12,42,37699,487,49.0,0
2018-12-13,22,55160,566,50.0,0
2018-12-14,23,81109,465,45.0,0
2018-12-15,31,65622,431,55.0,0
2018-12-17,43,46001,476,50.0,0
2018-12-19,50,62852,609,49.0,0
2018-12-20,38,35591,559,60.0,0
2018-12-22,27,59387,544,55.0,0
2018-12-23,39,19530,533,50.0,0
2018-12-24,36,64412,584,50.0,0
2018-12-25,43,25619,511,54.0,0
2018-12-26,30,22019,545,54.0,0
2018-12-27,46,34332,598,64.0,0
2018-12-30,44,37382,577,52.0,0
2018-12-31,48,15248,515,57.0,0
2019-01-01,35,39345,601,53.0,0
2019-01-02,42,20078,611,53.0,0
2019-01-04,41,41973,650,54.0,0
2019-01-05,30,52828,652,40.0,0
2019-01-07,45,126823,460,68.0,0
2019-01-08,57,34903,535,54.0,0
2019-01-11,30,58410,618,52.0,0
2019-01-12,50,59113,615,55.0,0
2019-01-13,42,45271,568,59.0,0
2019-01-14,66,47088,475,53.0,0
2019-01-15,30,39186,544,58.0,0
2019-01-16,29,35052,506,50.0,0
2019-01-17,32,77345,589,52.0,0
2019-01-18,18,23423,570,53.0,0
2019-01-20,30,119257,521,55.0,0
2019-01-22,44,15132,551,56.0,0
2019-01-24,51,35954,603,54.0,0
2019-01-25,33,27379,557,47.0,0
2019-01-26,29,40688,550,60.0,0
2019-01-28,24,21210,572,54.0,0
2019-01-29,61,55593,643,46.0,0
2019-01-31,34,27349,484,57.0,0
2019-02-01,19,33191,576,47.0,0
2019-02-02,56,24858,536,51.0,0
2019-02-03,38,86622,627,62.0,0
2019-02-04,54,31769,526,58.0,0
2019-02-05,20,15000,542,54.0,0
2019-02-07,40,61340,617,46.0,0
2019-02-08,40,29436,561,57.0,0
2019-02-09,34,40420,607,54.0,0
2019-02-10,47,25328,567,59.0,0
2019-02-12,38,49168,617,54.0,0
2019-02-13,41,24075,506,64.0,0
2019-02-14,46,27464,513,57.0,0
2019-02-15,48,34814,615,49.0,0
2019-02-16,26,23563,617,57.0,0
2019-02-17,21,88618,580,56.0,0
2019-02-18,55,123514,632,49.0,0
2019-02-19,43,44674,574,53.0,0
2019-02-20,31,34622,588,52.0,0
2019-02-21,58,27715,589,54.0,0
2019-02-22,41,42964,546,56.0,0
2019-02-24,40,81906,456,54.0,0
2019-02-25,64,36477,577,52.0,0
2019-02-26,61,21728,643,49.0,0
2019-02-27,37,33297,605,49.0,0
2019-02-28,51,67500,589,52.0,0
2019-03-01,47,50147,560,68.0,0
2019-03-03,28,27792,550,55.0,0
2019-03-05,52,25587,630,52.0,0
2019-03-06,18,15000,476,52.0,0
2019-03-07,25,79101,506,51.0,0
2019-03-08,18,25700,486,55.0,0
2019-03-09,36,44241,606,48.0,0
2019-03-10,48,47722,584,57.0,0
2019-03-11,58,53571,519,49.0,0
2019-03-12,40,44449,565,73.0,0
2019-03-13,59,30590,546,51.0,0
2019-03-14,23,29273,553,64.0,0
2019-03-15,19,57523,537,54.0,0
2019-03-16,39,66712,609,55.0,0
2019-03-18,39,30031,614,51.0,0
2019-03-19,18,63559,571,55.0,0
2019-03-20,38,23447,492,58.0,0
2019-03-23,44,48486,563,50.0,0
2019-03-24,28,65027,539,57.0,0
2019-03-25,33,75623,589,53.0,0
2019-03-26,27,44874,545,51.0,0
2019-03-27,39,15000,549,60.0,0
2019-03-28,51,65457,555,49.0,0
