AnnualIncome,LoanAmount,MonthlyDebtPayments,DebtToIncomeRatio,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,NetWorth,MonthlyIncome,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved
39948,13152,183,0.3583355996981915,7632,1202,146111,19183,126928,3329.0,419.8059915607372,0.1810771978253941,0
39709,26045,496,0.33027367,4627,3460,53204,9595,43609,3309.083333333333,794.0542382198969,0.3898524480253535,0
40724,17627,902,0.2447291091328494,886,895,25176,128874,5205,3393.6666666666665,666.4066876774697,0.4621569652325321,0
69084,37898,755,0.4362442650682687,1675,1217,104822,5370,99452,5757.0,1047.5069802292967,0.3130983116604649,0
103264,9184,274,0.078884212,1555,4981,244305,17286,227019,8605.333333333334,330.17914048482373,0.070209847,1
178310,15433,732,0.2593664008403899,2118,1223,67914,40843,27071,14859.166666666666,385.5770741531959,0.075211289,1
51250,12741,337,0.1274727031804663,5161,1735,65624,43894,21730,4270.833333333333,391.30035166528967,0.1705288628289459,0
97345,19634,288,0.3955676351247315,781,74,50177,11556,38621,8112.083333333333,1827.3600549751063,0.2607665587313296,1
116841,55353,638,0.3132332595016429,1157,708,29632,49940,7711,9736.75,1762.1990260211653,0.2465092588411087,0
40615,25443,704,0.5051480267602317,1028,446,129664,12852,116812,3384.583333333333,2353.577423938191,0.9033837027516506,0
73646,48716,267,0.08144473,9266,3875,148966,20315,128651,6137.166666666667,1504.4524892505112,0.2886433733129584,0
15000,30088,295,0.3466856611903402,259,348,33062,3353,29709,1250.0,1505.6095277284012,1.440487622182721,0
74453,16154,258,0.3710335920591852,781,1633,16204,35493,5231,6204.416666666667,479.5398903097801,0.1188733655288216,0
100508,20439,247,0.5813609803865023,2027,916,181813,99030,82783,8375.666666666666,594.3815331706401,0.1004554701919019,0
47624,27197,196,0.7515148192746655,2971,576,45336,9418,35918,3968.6666666666665,1013.8293748263418,0.3048452985451894,0
56650,12652,336,0.0441568040602275,242,131,261435,11144,250291,4720.833333333333,480.8408279537298,0.1730289485515403,1
50042,19105,680,0.308869314312398,2214,1219,11162,89196,7021,4170.166666666667,492.58144374273706,0.2811833524821718,0
142326,13499,772,0.295469876,13247,856,73836,4213,69623,11860.5,303.1952309300833,0.090653449,1
16021,14655,286,0.1045686898825265,8651,1127,29278,25345,3933,1335.0833333333333,381.1768758297885,0.4997267654926323,0
34698,14314,755,0.1005979617163389,3721,2098,128035,72605,55430,2891.5,404.73508890905856,0.4010842430949536,0
106749,15698,1059,0.1472796820224425,1686,4304,212568,8152,204416,8895.75,481.3942885517428,0.1731606990474937,1
59138,13205,564,0.1116632265342507,1187,5192,24257,18681,5576,4928.166666666667,325.1174211273312,0.1804154528987787,0
114216,9809,571,0.6304483929012554,720,2127,23984,27250,2482,9518.0,260.48690525168723,0.087359414,1
63300,16476,376,0.2357985888572082,2154,1735,14710,53225,6903,5275.0,864.2694728341611,0.2351221749448646,0
39676,47795,199,0.5733945375308696,840,1085,157749,76577,81172,3306.333333333333,1412.5978905237318,0.4874275301513454,0
59192,45608,222,0.2301158454793847,21084,3449,67609,9196,58413,4932.666666666667,1696.5434894688626,0.3889465109073244,0
15059,20240,443,0.067066338,713,7335,29861,13107,16754,1254.9166666666667,1076.2027060960763,1.2106004696960564,0
15305,21452,443,0.063153792,9547,979,16936,7005,9931,1275.4166666666667,682.1440641557417,0.8821776393249853,0
35498,11136,698,0.1764443521487324,1346,205,34189,31484,2705,2958.1666666666665,394.1781845250898,0.369207792391151,0
60227,25264,458,0.1441126824725377,5391,1993,141168,35773,105395,5018.916666666667,622.0190932780162,0.215189684349813,1
23861,19570,521,0.2237112245223063,3348,1072,85166,8627,76539,1988.4166666666667,724.3380618289065,0.6262963304952381,0
73843,44668,388,0.1569137013697023,17023,3352,56887,90622,3068,6153.583333333333,1271.0537546851097,0.2696077496339709,0
61099,10094,380,0.265219566244273,2987,1795,69823,23540,46283,5091.583333333333,262.6701511744103,0.1262220627848725,0
15000,11318,721,0.4483848187309043,4172,3835,303949,13680,290269,1250.0,335.3986467038278,0.8451189173630622,0
34738,10166,388,0.3145138105264432,1767,2757,249298,10972,238326,2894.833333333333,288.9598327490928,0.2338510562781137,0
85889,24186,870,0.0505386436633547,14921,1110,18899,5554,13345,7157.416666666667,696.1364545483091,0.2188130896224162,0
78701,18326,482,0.071301978,463,1585,170720,30154,140566,6558.416666666667,505.01155031559216,0.1504954016313275,1
24914,8015,327,0.6442658599722689,2612,199,49999,8146,41853,2076.1666666666665,278.94758109438794,0.2918588333118991,1
57231,35876,370,0.1347406133958152,7737,242,214229,73682,140547,4769.25,1150.799076487652,0.3188759399250725,0
163303,12850,337,0.072959106,3012,309,115322,17900,97422,13608.583333333334,300.0461613403112,0.046812085,1
38453,30517,560,0.103003265,5165,1539,46352,3481,42871,3204.4166666666665,971.8230602281166,0.4780349185430889,0
99920,23363,298,0.2058309595482642,991,288,27778,23569,4209,8326.666666666666,2136.847992796173,0.2924156916888919,1
57860,25576,159,0.074387032,2059,427,463089,25653,437436,4821.666666666667,683.4043512189653,0.1747122747083923,0
30890,10176,289,0.1247302171537788,11162,249,43010,28334,14676,2574.1666666666665,506.3215206405897,0.3089627143958264,0
15561,20169,346,0.3745583771833413,1929,1463,16965,5913,11052,1296.75,793.8209078280751,0.8789827706405052,0
105957,53987,399,0.6210591922536411,4218,208,165299,69541,95758,8829.75,1718.3773131502862,0.2398003695631571,0
82887,20996,471,0.1515959478647919,16502,1246,17748,117394,4958,6907.25,571.7878722615751,0.1509700491891237,0
53555,29418,221,0.1479091377421932,9902,1607,12300,27582,2753,4462.916666666667,808.5905593660116,0.2306990330014403,0
105639,20409,387,0.3270783966346243,3379,5476,165235,22300,142935,8803.25,495.9515749423792,0.1002983642339339,0
58342,10077,592,0.1928691558716403,5076,230,25120,15562,9558,4861.833333333333,543.2493604262762,0.2335023195145061,0
121939,41215,220,0.2444251231872098,1365,4000,188167,2457,185710,10161.583333333334,1220.7265633854008,0.1417817003634998,1
16054,20612,465,0.2065330441829189,4127,665,51140,11870,39270,1337.8333333333333,799.6733391447596,0.9453145676926072,0
36057,29501,384,0.187428659092861,2220,438,19637,56982,1500,3004.75,1117.9536116840152,0.4998597592758183,0
124086,36798,713,0.3397144748555306,3281,1704,32072,21593,10479,10340.5,1815.227227787432,0.2444975801738244,1
272693,19717,278,0.2701575024326625,801,1835,94338,5443,88895,22724.416666666668,459.5963314611698,0.032458318,1
48757,16173,817,0.3053767173882865,21739,266,39354,97462,3120,4063.0833333333335,380.1899401553989,0.2946505995419076,0
31683,10566,183,0.090370619,30896,2581,278821,123883,154938,2640.25,542.6665153221236,0.2748476528064098,0
69003,5376,458,0.1743798193059494,983,1153,37496,23994,13502,5750.25,129.3875730579447,0.1021499192309803,1
